source_id,retrieved_at_utc,publisher_release_date,vintage_label,sha256,n_rows,n_geographies,schema_fingerprint,ingest_method,ingested_by,status,notes
afdc_ev_registrations,,2024-09-06,2023-registrations,12518e7893202ecd43a3f1b89b0357085f6d4c7fa4d52addb1882572291d85b6,52,52,2ac84fd2a3185924dd5eecd635efb9e43524e15ee04ffd00850ea79bd6b7363a,manual,scripts/03_seed_manifest.R,ok,Filename encodes a 2024-09-06 publication of 2023 registration counts.
afdc_station_counts,,2024-12-31,2024,a84ee90ac5b10a394580cd75a4b0f127ad560bfc131ade188e18f4895ae6b0e9,,,,manual,scripts/03_seed_manifest.R,ok,"URL pins ?year=2024. Header row is unnamed, so the column contract is unverified (F-07)."
bea_sagdp,,,SAGDP9__ALL_AREAS_1997_2024,2646ab95f5f5381307e5f41b7f19687de5eae34241fd6b9eb105e66176d89604,,,,manual,scripts/03_seed_manifest.R,ok,Member filename encodes the vintage; annual series ends 2024.
bea_sqgdp,,,SQGDP9__ALL_AREAS_2005_2025,39dc7f81fdf8c0310485b708bbb21486a48d74a7c51f18249ed7271387d42985,,,,manual,scripts/03_seed_manifest.R,ok,Member filename encodes the vintage. No release date available without unzipping; read but never downloaded (F-06).
bls_qcew,,,,,,,,manual,scripts/03_seed_manifest.R,pending,"Pulled live from the BLS API, nothing staged. Results are currently discarded before reaching the index (F-05). No vintage could be evidenced, so this stays pending rather than being given a made-up date."
bnef_datacenter_capacity,,2025-08-08,2025-08-08,985115bbdc61ea8a754ed064f325c34c1b7298fc49e4603b6e5df7bcc17afe4e,,,,manual,scripts/03_seed_manifest.R,ok,Filename encodes the export date. Code hard-filters Date == 2025-03-31 (F-08). Licensed; should not be committed (F-13).
census_county_population,,2024-03-14,co-est2023,,,,,manual,scripts/03_seed_manifest.R,ok,"Read from a live URL at runtime, not staged locally (F-11). Vintage taken from the dataset name."
census_tiger_states,,,TIGER2023,,,,,manual,scripts/03_seed_manifest.R,ok,Fetched at runtime via tigris::states(year = 2023); nothing is staged locally.
clean_investment_monitor,,2025-08-11,2025_Q2.20250811.0,1faacc2e761d0bbfc95befc50b7f159d20e361f61be8b8f7c2e078a8b3fa0dac,22212,51,97e871510dfc1101225373c554cef4c8c14f9b38acf69074c971af521f5d61ab,manual,scripts/03_seed_manifest.R,ok,Embedded version line. Directory says q2_2025 but manufacturing_facility_metadata.csv is 2025_Q4.20260109.0 (F-09).
climate_legislation,,,,75090b508e969cb50dfb6cad832b57404d6962ecc0b763febfe2e7c3743cc2dd,2545,,5ab95c16b4e2db4af16d6d2fb63f3af8bb0d69f5ccb6aec653dd41f8cd2f73cf,manual,scripts/03_seed_manifest.R,pending,"No vintage field and no release date; 2,545 bills across 49 states. Publisher unconfirmed. No vintage could be evidenced, so this stays pending rather than being given a made-up date."
cnbc_state_rankings,,,,eb774f375620e54c463eefef8e607df857e2e4c6389f7afae2cf111435b1f34f,50,,1451ebbff8a7075ee19326352dfd0cb863bb305572322b9704c623de70658a55,manual,scripts/03_seed_manifest.R,pending,"No year column anywhere in the file, so the ranking year cannot be determined from the data. No vintage could be evidenced, so this stays pending rather than being given a made-up date."
